date_of_journey,month,day_of_week,airline,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure,departure_time,departure_delay,taxi_out,takeoff_time,scheduled_time,elapsed_time,air_time,distance,landing_time,taxi_in,scheduled_arrival,arrival_time,arrival_delay,diverted,cancelled,cancellation_reason,air_system_delay,security_delay,airline_delay,late_aircraft_delay,weather_delay
2015-04-30,April,Thursday,OO,2856,N864AS,LAX,SLC,15:30:00,15:26:00,-4.0,14.0,15:40:00,109.0,104.0,85.0,590,18:05:00,5.0,18:19:00,18:10:00,-9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-02,August,Sunday,UA,447,N827UA,EWR,RDU,07:30:00,07:28:00,-2.0,25.0,07:53:00,98.0,94.0,65.0,416,08:58:00,4.0,09:08:00,09:02:00,-6.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-08,September,Tuesday,AA,122,N3AWAA,DFW,MCO,10:15:00,10:10:00,-5.0,9.0,10:19:00,160.0,145.0,132.0,985,13:31:00,4.0,13:55:00,13:35:00,-20.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-07,July,Tuesday,AA,1638,N3JYAA,DFW,CLT,15:40:00,16:10:00,30.0,9.0,16:19:00,161.0,144.0,129.0,936,19:28:00,6.0,19:21:00,19:34:00,13.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-21,April,Tuesday,AA,1069,N5CCAA,DFW,SAN,13:45:00,13:40:00,-5.0,14.0,13:54:00,190.0,186.0,169.0,1171,14:43:00,3.0,14:55:00,14:46:00,-9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-16,January,Friday,WN,4719,N718SW,LAX,PHX,17:40:00,17:41:00,1.0,8.0,17:49:00,75.0,69.0,57.0,370,19:46:00,4.0,19:55:00,19:50:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-29,August,Saturday,WN,4960,N475WN,DAL,OAK,09:35:00,09:28:00,-7.0,9.0,09:37:00,225.0,206.0,191.0,1468,10:48:00,6.0,11:20:00,10:54:00,-26.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-21,October,Wednesday,DL,750,N341NB,10721,12478,06:00:00,06:00:00,0.0,18.0,06:18:00,78.0,76.0,42.0,187,07:00:00,16.0,07:18:00,07:16:00,-2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-17,November,Tuesday,UA,721,N453UA,MSN,DEN,08:48:00,11:14:00,146.0,13.0,11:27:00,156.0,142.0,120.0,826,12:27:00,9.0,10:24:00,12:36:00,132.0,0,0,Not Cancelled,132.0,0.0,0.0,0.0,0.0
2015-01-19,January,Monday,MQ,2943,N1EAMQ,DFW,AMA,18:10:00,18:18:00,8.0,10.0,18:28:00,72.0,65.0,51.0,312,19:19:00,4.0,19:22:00,19:23:00,1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-23,May,Saturday,WN,891,N454WN,CLE,MDW,13:30:00,13:26:00,-4.0,8.0,13:34:00,75.0,66.0,52.0,307,13:26:00,6.0,13:45:00,13:32:00,-13.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-23,September,Wednesday,WN,3045,N8618N,DEN,SLC,08:40:00,08:39:00,-1.0,17.0,08:56:00,90.0,87.0,60.0,391,09:56:00,10.0,10:10:00,10:06:00,-4.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-13,April,Monday,EV,4198,N11526,IAH,LBB,11:25:00,11:21:00,-4.0,13.0,11:34:00,94.0,98.0,78.0,458,12:52:00,7.0,12:59:00,12:59:00,0.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-05,January,Monday,WN,3489,N508SW,AUS,DAL,14:20:00,14:23:00,3.0,12.0,14:35:00,55.0,52.0,37.0,189,15:12:00,3.0,15:15:00,15:15:00,0.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-04,January,Sunday,US,610,N571UW,SEA,PHX,05:15:00,05:05:00,-10.0,17.0,05:22:00,165.0,167.0,135.0,1107,08:37:00,15.0,09:00:00,08:52:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-27,February,Friday,UA,1523,N37434,SFO,IAD,10:45:00,11:17:00,32.0,12.0,11:29:00,304.0,290.0,270.0,2419,18:59:00,8.0,18:49:00,19:07:00,18.0,0,0,Not Cancelled,7.0,0.0,0.0,11.0,0.0
2015-07-17,July,Friday,AA,439,N823AW,PHX,SMF,07:17:00,07:12:00,-5.0,14.0,07:26:00,116.0,109.0,91.0,647,08:57:00,4.0,09:13:00,09:01:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-27,May,Wednesday,AS,308,N317AS,SEA,SFO,15:25:00,15:18:00,-7.0,14.0,15:32:00,128.0,123.0,97.0,679,17:09:00,12.0,17:33:00,17:21:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-01,November,Sunday,WN,233,N659SW,MKE,BWI,05:55:00,05:52:00,-3.0,9.0,06:01:00,120.0,104.0,92.0,641,08:33:00,3.0,08:55:00,08:36:00,-19.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-30,January,Friday,EV,4730,N12172,ORD,DAY,10:50:00,10:39:00,-11.0,13.0,10:52:00,71.0,63.0,43.0,240,12:35:00,7.0,13:01:00,12:42:00,-19.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-02,July,Thursday,NK,394,N602NK,LAS,PHL,22:45:00,22:37:00,-8.0,12.0,22:49:00,278.0,273.0,244.0,2176,05:53:00,17.0,06:23:00,06:10:00,-13.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-10,May,Sunday,B6,921,N789JB,BOS,PBI,10:00:00,09:56:00,-4.0,13.0,10:09:00,187.0,186.0,170.0,1197,12:59:00,3.0,13:07:00,13:02:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-25,July,Saturday,AA,417,N165US,PHL,PDX,18:00:00,18:23:00,23.0,25.0,18:48:00,361.0,349.0,318.0,2406,21:06:00,6.0,21:01:00,21:12:00,11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-11,November,Wednesday,AA,1944,N945UW,PHL,RDU,09:30:00,09:23:00,-7.0,12.0,09:35:00,86.0,71.0,55.0,337,10:30:00,4.0,10:56:00,10:34:00,-22.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-31,May,Sunday,NK,1105,N637NK,DEN,SAN,07:20:00,07:15:00,-5.0,11.0,07:26:00,145.0,126.0,111.0,853,08:17:00,4.0,08:45:00,08:21:00,-24.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-19,July,Sunday,EV,4454,N13132,IAH,HSV,16:02:00,15:59:00,-3.0,11.0,16:10:00,112.0,108.0,94.0,595,17:44:00,3.0,17:54:00,17:47:00,-7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-25,March,Wednesday,UA,1609,N69813,MCO,ORD,12:09:00,12:26:00,17.0,11.0,12:37:00,182.0,167.0,148.0,1005,14:05:00,8.0,14:11:00,14:13:00,2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-24,August,Monday,EV,4925,N848AS,ATL,PIA,09:06:00,09:04:00,-2.0,13.0,09:17:00,105.0,95.0,79.0,565,09:36:00,3.0,09:51:00,09:39:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-03,August,Monday,HA,185,N475HA,OGG,HNL,12:19:00,12:13:00,-6.0,13.0,12:26:00,36.0,,,100,,,12:55:00,,,0,1,A,0.0,0.0,0.0,0.0,0.0
2015-05-09,May,Saturday,DL,1507,N836DN,ATL,SLC,12:05:00,12:20:00,15.0,10.0,12:30:00,240.0,224.0,205.0,1590,13:55:00,9.0,14:05:00,14:04:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-29,January,Thursday,DL,1544,N930DN,TPA,MSP,08:00:00,07:53:00,-7.0,14.0,08:07:00,209.0,205.0,183.0,1306,10:10:00,8.0,10:29:00,10:18:00,-11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-26,September,Saturday,DL,1120,N925DN,ROC,ATL,14:00:00,14:04:00,4.0,12.0,14:16:00,136.0,130.0,110.0,749,16:06:00,8.0,16:16:00,16:14:00,-2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-25,January,Sunday,AS,246,N527AS,SEA,SAN,08:45:00,08:41:00,-4.0,11.0,08:52:00,158.0,157.0,143.0,1050,11:15:00,3.0,11:23:00,11:18:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-25,November,Wednesday,UA,1052,N35204,ORD,EWR,05:00:00,04:57:00,-3.0,17.0,05:14:00,127.0,128.0,98.0,719,07:52:00,13.0,08:07:00,08:05:00,-2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-11,September,Friday,AA,890,N156UW,CLT,DFW,22:15:00,22:22:00,7.0,13.0,22:35:00,166.0,154.0,136.0,936,23:51:00,5.0,00:01:00,23:56:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-27,May,Wednesday,EV,4740,N12552,GRB,ORD,05:35:00,05:31:00,-4.0,8.0,05:39:00,60.0,63.0,47.0,173,06:26:00,8.0,06:35:00,06:34:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-30,November,Monday,EV,4971,N844AS,ATL,AVL,17:45:00,,,,,55.0,,,164,,,18:40:00,,,0,1,B,0.0,0.0,0.0,0.0,0.0
2015-05-15,May,Friday,EV,5565,N878AS,OAJ,ATL,17:58:00,17:50:00,-8.0,8.0,17:58:00,93.0,89.0,68.0,399,19:06:00,13.0,19:31:00,19:19:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-11,December,Friday,DL,1168,N993DL,BHM,ATL,11:24:00,11:23:00,-1.0,23.0,11:46:00,67.0,65.0,37.0,134,13:23:00,5.0,13:31:00,13:28:00,-3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-06-18,June,Thursday,WN,4301,N8639B,PHX,DEN,06:10:00,06:10:00,0.0,11.0,06:21:00,115.0,105.0,88.0,602,08:49:00,6.0,09:05:00,08:55:00,-10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-30,December,Wednesday,WN,921,N7733B,LIT,PHX,08:45:00,09:45:00,60.0,9.0,09:54:00,195.0,191.0,175.0,1136,11:49:00,7.0,11:00:00,11:56:00,56.0,0,0,Not Cancelled,0.0,0.0,56.0,0.0,0.0
2015-12-09,December,Wednesday,VX,232,N846VA,LAX,ORD,10:20:00,10:16:00,-4.0,9.0,10:25:00,240.0,234.0,212.0,1744,15:57:00,13.0,16:20:00,16:10:00,-10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-13,October,Tuesday,EV,5096,N600QX,14685,11433,16:56:00,16:50:00,-6.0,17.0,17:07:00,129.0,143.0,120.0,705,19:07:00,6.0,19:05:00,19:13:00,8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-06,November,Friday,OO,6488,N964SW,CID,ORD,18:53:00,18:45:00,-8.0,14.0,18:59:00,71.0,81.0,44.0,196,19:43:00,23.0,20:04:00,20:06:00,2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-04,April,Saturday,WN,2485,N724SW,MCO,RDU,08:20:00,08:11:00,-9.0,6.0,08:17:00,95.0,85.0,76.0,534,09:33:00,3.0,09:55:00,09:36:00,-19.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-23,January,Friday,WN,883,N780SW,LAX,DEN,20:55:00,20:48:00,-7.0,7.0,20:55:00,130.0,136.0,123.0,862,23:58:00,6.0,00:05:00,00:04:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-29,November,Sunday,MQ,3171,N933MQ,ORD,LEX,21:44:00,21:40:00,-4.0,12.0,21:52:00,78.0,87.0,52.0,323,23:44:00,23.0,00:02:00,00:07:00,5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-06-20,June,Saturday,WN,3446,N237WN,OAK,BUR,18:45:00,18:42:00,-3.0,8.0,18:50:00,65.0,60.0,48.0,325,19:38:00,4.0,19:50:00,19:42:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-06-15,June,Monday,WN,1534,N379SW,BDL,BWI,13:30:00,13:35:00,5.0,8.0,13:43:00,70.0,64.0,52.0,283,14:35:00,4.0,14:40:00,14:39:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-30,March,Monday,MQ,3339,N509MQ,XNA,ORD,09:45:00,09:42:00,-3.0,10.0,09:52:00,106.0,95.0,77.0,522,11:09:00,8.0,11:31:00,11:17:00,-14.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-22,November,Sunday,NK,300,N528NK,MYR,LGA,09:02:00,08:55:00,-7.0,9.0,09:04:00,118.0,119.0,71.0,563,10:15:00,39.0,11:00:00,10:54:00,-6.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-07,August,Friday,UA,224,N845UA,IAH,SMF,09:30:00,10:14:00,44.0,12.0,10:26:00,244.0,220.0,204.0,1609,11:50:00,4.0,11:34:00,11:54:00,20.0,0,0,Not Cancelled,0.0,0.0,8.0,12.0,0.0
2015-06-01,June,Monday,MQ,3162,N525MQ,ORD,BNA,08:45:00,09:48:00,63.0,12.0,10:00:00,90.0,79.0,63.0,409,11:03:00,4.0,10:15:00,11:07:00,52.0,0,0,Not Cancelled,0.0,0.0,52.0,0.0,0.0
2015-08-14,August,Friday,F9,555,N953FR,DEN,SAN,07:50:00,07:48:00,-2.0,10.0,07:58:00,135.0,125.0,110.0,853,08:48:00,5.0,09:05:00,08:53:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-03,May,Sunday,WN,780,N260WN,ATL,DCA,10:05:00,10:01:00,-4.0,20.0,10:21:00,105.0,105.0,81.0,547,11:42:00,4.0,11:50:00,11:46:00,-4.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-18,February,Wednesday,AA,1582,N5FLAA,MIA,BOS,07:00:00,06:54:00,-6.0,18.0,07:12:00,190.0,169.0,146.0,1258,09:38:00,5.0,10:10:00,09:43:00,-27.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-06-04,June,Thursday,EV,5922,N14558,ORD,BHM,18:59:00,18:54:00,-5.0,15.0,19:09:00,114.0,95.0,77.0,584,20:26:00,3.0,20:53:00,20:29:00,-24.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-17,August,Monday,UA,284,N836UA,ORD,DSM,09:17:00,09:33:00,16.0,13.0,09:46:00,84.0,60.0,43.0,299,10:29:00,4.0,10:41:00,10:33:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-05,July,Sunday,OO,3420,N171SY,SEA,SLC,19:05:00,19:08:00,3.0,16.0,19:24:00,124.0,123.0,100.0,689,22:04:00,7.0,22:09:00,22:11:00,2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-08,February,Sunday,WN,145,N913WN,LAX,LAS,17:05:00,17:21:00,16.0,12.0,17:33:00,65.0,62.0,45.0,236,18:18:00,5.0,18:10:00,18:23:00,13.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-08,January,Thursday,US,1709,N542UW,CLT,FLL,09:50:00,10:01:00,11.0,33.0,10:34:00,130.0,127.0,89.0,631,12:03:00,5.0,12:00:00,12:08:00,8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-08,October,Thursday,EV,4447,N14562,12266,12339,10:15:00,10:08:00,-7.0,23.0,10:31:00,142.0,159.0,128.0,844,13:39:00,8.0,13:37:00,13:47:00,10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-09,November,Monday,WN,2189,N8327A,DAL,FLL,08:00:00,07:56:00,-4.0,16.0,08:12:00,155.0,158.0,133.0,1108,11:25:00,9.0,11:35:00,11:34:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-16,July,Thursday,WN,249,N491WN,MCO,PHL,09:25:00,09:24:00,-1.0,9.0,09:33:00,145.0,143.0,127.0,861,11:40:00,7.0,11:50:00,11:47:00,-3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-09,July,Thursday,WN,865,N353SW,ELP,LAX,14:35:00,14:48:00,13.0,25.0,15:13:00,125.0,139.0,106.0,715,15:59:00,8.0,15:40:00,16:07:00,27.0,0,0,Not Cancelled,14.0,0.0,0.0,13.0,0.0
2015-11-30,November,Monday,AA,1848,N184US,MCO,PHL,08:05:00,08:04:00,-1.0,11.0,08:15:00,143.0,132.0,114.0,861,10:09:00,7.0,10:28:00,10:16:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-01,September,Tuesday,F9,1169,N206FR,CVG,MCO,17:15:00,17:22:00,7.0,9.0,17:31:00,125.0,124.0,106.0,757,19:17:00,9.0,19:20:00,19:26:00,6.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-15,July,Wednesday,WN,3412,N358SW,STL,MSP,14:40:00,15:10:00,30.0,9.0,15:19:00,85.0,91.0,77.0,448,16:36:00,5.0,16:05:00,16:41:00,36.0,0,0,Not Cancelled,6.0,0.0,3.0,27.0,0.0
2015-06-29,June,Monday,OO,2873,N863AS,TUS,LAX,14:00:00,13:57:00,-3.0,15.0,14:12:00,96.0,87.0,67.0,451,15:19:00,5.0,15:36:00,15:24:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-09,December,Wednesday,B6,1415,N942JB,JFK,SFO,20:00:00,19:58:00,-2.0,35.0,20:33:00,398.0,419.0,376.0,2586,23:49:00,8.0,23:38:00,23:57:00,19.0,0,0,Not Cancelled,19.0,0.0,0.0,0.0,0.0
2015-12-23,December,Wednesday,AA,2163,N814AW,DCA,LGA,08:00:00,08:00:00,0.0,,,81.0,,,214,,,09:21:00,,,0,1,C,0.0,0.0,0.0,0.0,0.0
2015-08-02,August,Sunday,WN,181,N638SW,PHX,LAX,20:25:00,22:03:00,98.0,13.0,22:16:00,80.0,80.0,56.0,370,23:12:00,11.0,21:45:00,23:23:00,98.0,0,0,Not Cancelled,82.0,0.0,0.0,16.0,0.0
2015-05-04,May,Monday,UA,1653,N66828,ORD,IAD,08:33:00,08:30:00,-3.0,13.0,08:43:00,106.0,104.0,83.0,589,11:06:00,8.0,11:19:00,11:14:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-18,October,Sunday,DL,1547,N6709,13342,11433,16:41:00,16:40:00,-1.0,18.0,16:58:00,72.0,74.0,49.0,237,18:47:00,7.0,18:53:00,18:54:00,1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-14,January,Wednesday,MQ,3281,N530MQ,CMH,LGA,13:30:00,13:29:00,-1.0,13.0,13:42:00,98.0,94.0,68.0,479,14:50:00,13.0,15:08:00,15:03:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-04,May,Monday,OO,5410,N976SW,EAU,ORD,18:43:00,18:33:00,-10.0,10.0,18:43:00,79.0,86.0,48.0,268,19:31:00,28.0,20:02:00,19:59:00,-3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-20,February,Friday,EV,4995,N707EV,LGA,CHO,20:45:00,22:53:00,128.0,80.0,00:13:00,90.0,134.0,52.0,305,01:05:00,2.0,22:15:00,01:07:00,172.0,0,0,Not Cancelled,44.0,0.0,54.0,74.0,0.0
2015-06-20,June,Saturday,MQ,3433,N906MQ,ORD,DAY,16:39:00,17:05:00,26.0,16.0,17:21:00,73.0,78.0,44.0,240,19:05:00,18.0,18:52:00,19:23:00,31.0,0,0,Not Cancelled,5.0,0.0,26.0,0.0,0.0
2015-09-08,September,Tuesday,AA,1084,N3GVAA,MIA,LGA,06:05:00,06:01:00,-4.0,11.0,06:12:00,176.0,165.0,150.0,1096,08:42:00,4.0,09:01:00,08:46:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-01,May,Friday,F9,931,N902FR,TTN,CLT,12:30:00,12:22:00,-8.0,11.0,12:33:00,100.0,99.0,77.0,484,13:50:00,11.0,14:10:00,14:01:00,-9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-06,March,Friday,DL,2036,N305DQ,EYW,ATL,17:43:00,17:48:00,5.0,9.0,17:57:00,126.0,116.0,95.0,646,19:32:00,12.0,19:49:00,19:44:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-06,April,Monday,EV,5911,N13968,GRB,ORD,10:35:00,10:28:00,-7.0,8.0,10:36:00,63.0,60.0,36.0,173,11:12:00,16.0,11:38:00,11:28:00,-10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-25,July,Saturday,OO,2888,N866AS,TUS,LAX,17:37:00,17:39:00,2.0,13.0,17:52:00,98.0,90.0,70.0,451,19:02:00,7.0,19:15:00,19:09:00,-6.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-14,July,Tuesday,NK,329,N507NK,CLE,DFW,11:09:00,11:25:00,16.0,7.0,11:32:00,169.0,150.0,134.0,1021,12:46:00,9.0,12:58:00,12:55:00,-3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-29,January,Thursday,B6,2783,N279JB,BOS,RDU,16:05:00,16:04:00,-1.0,13.0,16:17:00,131.0,119.0,95.0,612,17:52:00,11.0,18:16:00,18:03:00,-13.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-08,July,Wednesday,WN,533,N729SW,MCO,IND,06:35:00,06:25:00,-10.0,10.0,06:35:00,135.0,130.0,116.0,829,08:31:00,4.0,08:50:00,08:35:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-25,July,Saturday,AA,686,N541UW,PHL,PHX,14:05:00,14:03:00,-2.0,18.0,14:21:00,300.0,285.0,259.0,2075,15:40:00,8.0,16:05:00,15:48:00,-17.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-23,November,Monday,NK,719,N507NK,DFW,DEN,16:55:00,16:58:00,3.0,16.0,17:14:00,122.0,122.0,100.0,641,17:54:00,6.0,17:57:00,18:00:00,3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-29,November,Sunday,EV,4422,N12921,PIT,EWR,08:36:00,08:26:00,-10.0,8.0,08:34:00,84.0,72.0,55.0,319,09:29:00,9.0,10:00:00,09:38:00,-22.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-22,November,Sunday,WN,295,N727SW,OAK,LAS,12:50:00,14:20:00,90.0,8.0,14:28:00,85.0,82.0,66.0,407,15:34:00,8.0,14:15:00,15:42:00,87.0,0,0,Not Cancelled,0.0,0.0,5.0,82.0,0.0
2015-06-17,June,Wednesday,DL,2352,N913DL,ALB,ATL,06:00:00,05:54:00,-6.0,9.0,06:03:00,151.0,130.0,117.0,853,08:00:00,4.0,08:31:00,08:04:00,-27.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-18,September,Friday,AA,143,N3AJAA,DFW,BOS,20:10:00,20:02:00,-8.0,17.0,20:19:00,225.0,217.0,196.0,1562,00:35:00,4.0,00:55:00,00:39:00,-16.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-16,October,Friday,WN,2168,N444WN,15016,13232,12:15:00,12:14:00,-1.0,8.0,12:22:00,65.0,62.0,45.0,251,13:07:00,9.0,13:20:00,13:16:00,-4.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-01,May,Friday,DL,816,N591NW,SFO,MSP,08:10:00,08:07:00,-3.0,21.0,08:28:00,215.0,210.0,184.0,1589,13:32:00,5.0,13:45:00,13:37:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-26,November,Thursday,MQ,3638,N508MQ,ORD,XNA,13:32:00,13:31:00,-1.0,12.0,13:43:00,110.0,95.0,80.0,522,15:03:00,3.0,15:22:00,15:06:00,-16.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-18,October,Sunday,WN,2698,N946WN,14730,10821,07:35:00,07:31:00,-4.0,18.0,07:49:00,95.0,98.0,73.0,495,09:02:00,7.0,09:10:00,09:09:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-09,February,Monday,WN,1085,N249WN,ONT,OAK,12:30:00,12:42:00,12.0,7.0,12:49:00,75.0,69.0,56.0,362,13:45:00,6.0,13:45:00,13:51:00,6.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-23,July,Thursday,B6,984,N294JB,RDU,BOS,16:50:00,16:49:00,-1.0,14.0,17:03:00,114.0,105.0,80.0,612,18:23:00,11.0,18:44:00,18:34:00,-10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-24,August,Monday,DL,150,N912DL,ATL,DCA,12:20:00,12:14:00,-6.0,25.0,12:39:00,109.0,117.0,86.0,547,14:05:00,6.0,14:09:00,14:11:00,2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-24,February,Tuesday,WN,346,N423WN,ATL,SAT,09:15:00,,,,,160.0,,,874,,,10:55:00,,,0,1,B,0.0,0.0,0.0,0.0,0.0
2015-06-26,June,Friday,UA,235,N834UA,DEN,LAX,17:28:00,17:24:00,-4.0,10.0,17:34:00,154.0,129.0,112.0,862,18:26:00,7.0,19:02:00,18:33:00,-29.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-09,February,Monday,AA,1196,N5EAAA,EGE,MIA,13:00:00,12:55:00,-5.0,19.0,13:14:00,246.0,248.0,197.0,1810,18:31:00,32.0,19:06:00,19:03:00,-3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-15,January,Thursday,WN,4251,N947WN,LAS,ELP,09:50:00,09:45:00,-5.0,18.0,10:03:00,95.0,99.0,78.0,583,12:21:00,3.0,12:25:00,12:24:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-07,August,Friday,AA,548,N675AW,SJC,PHX,16:10:00,16:03:00,-7.0,11.0,16:14:00,115.0,142.0,113.0,621,18:07:00,18.0,18:05:00,18:25:00,20.0,0,0,Not Cancelled,20.0,0.0,0.0,0.0,0.0
2015-10-16,October,Friday,F9,756,N951FR,14107,11292,05:05:00,04:59:00,-6.0,14.0,05:13:00,107.0,103.0,79.0,602,07:32:00,10.0,07:52:00,07:42:00,-10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
